Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,09/09/00,Lyon,Lens,3,0,H,0,0,D,2,3.15,3.1,2,2.8,3.1,,,,2.1,3.1,3.2,1.9,3.2,3.5
F1,09/09/00,Paris Saint-Germain,Saint-Etienne,5,1,H,1,0,H,1.47,3.3,6.4,1.4,3.6,5.5,,,,1.53,3.5,5.5,1.57,3.5,5
F1,09/09/00,Stade Rennes,Metz,0,1,A,0,1,A,1.8,3.15,3.75,1.85,2.8,3.5,,,,1.83,3.1,4,1.72,3.2,4.33
F1,09/09/00,Sedan,AS Monaco,1,0,H,0,0,D,2.5,3.1,2.35,2.4,2.9,2.4,,,,2.63,3.1,2.4,2.7,3,2.37
F1,09/09/00,Strasbourg,Bastia,1,4,A,1,1,D,2.2,3.1,2.75,2.1,2.9,2.9,,,,2.25,3.2,2.8,2.37,3.1,2.62
F1,10/09/00,Toulouse,Marseille,2,0,H,2,0,H,2.65,3,2.3,2.45,2.8,2.45,,,,2.8,3.1,2.3,2.8,2.9,2.37
F1,16/09/00,Bastia,Stade Rennes,0,2,A,0,0,D,1.5,3.55,5.1,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.53,3.6,5
F1,16/09/00,Guingamp,AJ Auxerre,1,0,H,1,0,H,2.35,3.15,2.65,2.3,2.8,2.6,,,,2.38,3.2,2.63,2.37,3.1,2.62
F1,16/09/00,Lens,Paris Saint-Germain,1,1,D,0,0,D,2.15,3.15,3,2.2,2.8,2.8,,,,2.25,3.1,2.88,2.25,3.1,2.8
F1,16/09/00,Marseille,Bordeaux,0,1,A,0,0,D,1.85,3.3,3.5,1.85,2.9,3.4,,,,1.91,3.2,3.6,1.72,3.4,4
F1,16/09/00,Metz,Sedan,1,0,H,0,0,D,1.8,3.3,3.5,1.7,3.1,3.8,,,,1.73,3.25,4.33,1.8,3.3,3.75
F1,16/09/00,AS Monaco,Toulouse,3,0,H,2,0,H,1.35,3.85,6.5,1.45,3.5,5,,,,1.4,3.75,7.5,1.5,3.6,5.5
F1,16/09/00,Troyes,Strasbourg,0,1,A,0,1,A,1.7,3.1,4.5,1.6,3.2,4.2,,,,1.62,3.5,4.75,1.61,3.5,4.5
F1,17/09/00,Nantes,Lyon,0,1,A,0,1,A,2.05,3.2,3.1,2.1,2.9,2.9,,,,2.2,3,3.1,2.1,3.2,3
F1,17/09/00,Saint-Etienne,Lille,1,1,D,1,1,D,1.7,3.4,4,1.8,2.9,3.6,,,,1.8,3.4,3.75,1.72,3.3,4
F1,23/09/00,AJ Auxerre,Marseille,0,1,A,0,0,D,2.05,3.35,3,2,2.9,3,,,,2.1,3.1,3.2,2.1,3.2,3
F1,23/09/00,Bordeaux,Toulouse,2,1,H,1,0,H,1.5,3.5,6,1.5,3.4,4.7,,,,1.5,3.5,6,1.5,3.4,6
F1,23/09/00,Lyon,Guingamp,0,1,A,0,0,D,1.5,3.6,5.5,1.45,3.5,5,,,,1.44,3.6,7,1.44,3.5,7
F1,23/09/00,Metz,AS Monaco,1,3,A,1,1,D,2.1,3.3,2.95,2.2,2.8,2.8,,,,2.1,3.1,3.1,2.1,3.1,3.1
F1,23/09/00,Paris Saint-Germain,Nantes,2,1,H,1,0,H,1.5,3.65,5.2,1.5,3.4,4.7,,,,1.5,3.5,6,1.5,3.4,6
F1,23/09/00,Stade Rennes,Troyes,0,2,A,0,0,D,1.85,3.5,3.4,1.65,3.1,4,,,,1.8,3.25,4,1.72,3.25,4.2
F1,23/09/00,Sedan,Bastia,3,3,D,0,1,A,2,3.3,3.2,1.9,2.9,3.2,,,,2,3.1,3.4,2.1,3,3.2
F1,23/09/00,Strasbourg,Saint-Etienne,3,2,H,2,0,H,2.1,3.3,2.95,2.1,2.9,2.9,,,,2.25,3.1,2.88,2.25,3.1,2.8
F1,24/09/00,Lille,Lens,2,1,H,0,1,A,2.3,3.35,2.6,2.2,2.8,2.8,,,,2.5,3,2.6,2.4,3,2.7
F1,30/09/00,Bastia,Metz,1,0,H,1,0,H,1.6,3.5,4.4,1.75,3.1,3.6,,,,1.73,3.4,4.2,1.66,3.3,4.5
F1,30/09/00,Guingamp,Paris Saint-Germain,1,1,D,0,0,D,2.55,3.25,2.25,2.4,2.9,2.4,,,,2.63,3.2,2.38,2.62,3.1,2.4
F1,30/09/00,Lens,Strasbourg,0,0,D,0,0,D,1.45,3.8,5.8,1.45,3.5,5,,,,1.44,3.75,6.5,1.5,3.6,5.5
F1,30/09/00,AS Monaco,Bordeaux,2,2,D,2,1,H,1.8,3.25,3.75,1.7,3.1,3.8,,,,1.75,3.25,4.2,1.72,3.2,4.33
F1,30/09/00,Saint-Etienne,Stade Rennes,0,2,A,0,1,A,1.8,3.35,3.6,1.7,3.1,3.8,,,,1.83,3.25,3.75,1.85,3.25,3.65
F1,30/09/00,Toulouse,AJ Auxerre,0,1,A,0,1,A,2.2,3.15,2.7,2.2,2.8,2.8,,,,2.4,3,2.7,2.4,2.9,2.75
F1,30/09/00,Troyes,Sedan,1,1,D,0,1,A,1.85,3.3,3.55,1.85,2.9,3.4,,,,1.75,3.4,4,1.8,3.25,3.8
F1,01/10/00,Marseille,Lyon,1,1,D,1,0,H,1.85,3.2,3.6,1.9,2.8,3.3,,,,1.91,3.25,3.5,1.9,3.25,3.4
F1,01/10/00,Nantes,Lille,0,0,D,0,0,D,1.8,3.4,3.6,1.85,2.9,3.4,,,,1.9,3.25,3.5,1.9,3.25,3.4
F1,10/10/00,Sedan,Stade Rennes,2,1,H,2,0,H,,,,1.9,2.8,3.3,,,,,,,2,3.1,3.3
F1,13/10/00,Bastia,AS Monaco,0,2,A,0,0,D,2,3.2,3.3,2.1,2.9,2.9,,,,2.2,3.1,3,2.3,3.1,2.75
F1,13/10/00,Paris Saint-Germain,Marseille,2,0,H,0,0,D,1.55,3.3,5.2,1.6,3.2,4.2,,,,1.67,3.3,4.6,1.66,3.3,4.5
F1,14/10/00,Lille,Guingamp,1,1,D,0,0,D,1.85,3.25,3.7,1.75,3.1,3.6,,,,1.91,3.1,3.75,1.85,3.25,3.6
F1,14/10/00,Metz,Troyes,2,2,D,0,0,D,1.8,3.2,4,1.7,3.1,3.8,,,,1.8,3.2,4,1.8,3.3,3.75
F1,14/10/00,Stade Rennes,Lens,1,0,H,1,0,H,2.3,3.1,2.7,2.1,2.9,2.9,,,,2.25,3.1,2.8,2.2,3.2,2.8
F1,14/10/00,Sedan,Saint-Etienne,2,1,H,1,1,D,1.85,3.15,3.9,1.8,2.9,3.6,,,,1.8,3.2,4,1.8,3.25,3.8
F1,14/10/00,Strasbourg,Nantes,0,5,A,0,4,A,2.1,3.1,3.1,2.1,2.9,2.9,,,,2.1,3.1,3.1,2,3.1,3.3
F1,15/10/00,AJ Auxerre,Bordeaux,0,2,A,0,1,A,2.05,3.2,3.1,2.1,2.9,2.9,,,,2.25,3.1,2.88,2.2,3.1,2.87
F1,21/10/00,Bordeaux,Lyon,1,1,D,1,1,D,1.9,2.9,3.5,1.9,2.8,3.3,,,,1.91,3.2,3.6,1.9,3,3.75
F1,21/10/00,Guingamp,Strasbourg,2,1,H,2,1,H,1.75,3.2,3.8,1.6,3.2,4.2,,,,1.73,3.25,4.5,1.7,3.25,4.3
F1,21/10/00,Lens,Sedan,1,1,D,0,0,D,1.8,3,3.8,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.72,3.2,4.33
F1,21/10/00,AS Monaco,AJ Auxerre,1,1,D,1,0,H,1.61,3.5,4.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.5,3.4,6
F1,21/10/00,Nantes,Stade Rennes,1,0,H,0,0,D,1.9,2.9,3.5,1.9,2.9,3.2,,,,1.91,3.2,3.6,2,3.1,3.3
F1,21/10/00,Saint-Etienne,Metz,2,0,H,0,0,D,2.05,2.8,3.2,2,2.7,3.2,,,,2.1,3,3.25,1.83,3.2,3.75
F1,21/10/00,Toulouse,Paris Saint-Germain,2,3,A,2,1,H,3.6,3,1.95,3,2.9,2,,,,3.4,3.1,2,3.4,3,2
F1,21/10/00,Troyes,Bastia,0,0,D,0,0,D,2.25,2.8,3,2.1,2.8,3,,,,2.25,3,3,2.2,3,3
F1,22/10/00,Marseille,Lille,0,1,A,0,0,D,1.65,3.2,4.5,1.7,3.1,3.8,,,,1.62,3.4,5,1.57,3.25,5.5
F1,28/10/00,Strasbourg,Marseille,1,1,D,1,0,H,2.4,3.1,2.65,2.4,2.9,2.4,,,,2.4,3.2,2.6,2.5,3.1,2.5
F1,29/10/00,Bastia,Saint-Etienne,0,0,D,0,0,D,1.6,3.25,5.25,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.66,3.1,5
F1,29/10/00,Lille,Toulouse,1,0,H,0,0,D,1.57,3.2,5.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.53,3.4,5.5
F1,29/10/00,Lyon,AJ Auxerre,2,2,D,1,1,D,1.8,3.15,4,1.7,3.1,3.8,,,,1.7,3.3,4.4,1.66,3.1,5
F1,29/10/00,Metz,Lens,2,1,H,1,1,D,2.1,3,3.2,2.1,2.8,3,,,,2.05,3.2,3.2,2.1,3,3.2
F1,29/10/00,Paris Saint-Germain,Bordeaux,1,2,A,0,1,A,1.6,3.25,5.1,1.65,3.1,4,,,,1.62,3.3,5.2,1.61,3.3,5
F1,29/10/00,Stade Rennes,Guingamp,1,2,A,0,1,A,2.05,3,3.35,1.9,2.8,3.3,,,,2,3.1,3.4,1.9,3,3.75
F1,29/10/00,Sedan,Nantes,2,0,H,1,0,H,2,3.1,3.35,1.9,2.9,3.2,,,,2,3.1,3.4,1.9,3.2,3.5
F1,29/10/00,Troyes,AS Monaco,1,0,H,0,0,D,2.7,2.95,2.45,2.4,2.9,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.4
F1,03/11/00,AS Monaco,Lyon,0,2,A,0,1,A,1.75,3.25,4.2,1.8,2.9,3.6,,,,1.75,3.2,4.2,1.8,3.1,4
F1,04/11/00,AJ Auxerre,Paris Saint-Germain,1,0,H,0,0,D,2.8,3.25,2.2,2.4,2.8,2.5,,,,2.6,3,2.5,2.5,2.9,2.6
F1,04/11/00,Bordeaux,Lille,1,0,H,0,0,D,1.8,3.35,3.8,1.75,3.1,3.6,,,,1.73,3.25,4.2,1.66,3.3,4.5
F1,04/11/00,Guingamp,Sedan,0,3,A,0,1,A,2.05,3.05,3.3,1.9,2.8,3.3,,,,1.95,3.1,3.5,1.9,3.1,3.6
F1,04/11/00,Lens,Bastia,4,0,H,0,0,D,2.1,3.05,3.25,1.9,2.8,3.3,,,,2,3,3.5,1.9,3.1,3.6
F1,04/11/00,Marseille,Stade Rennes,0,1,A,0,1,A,,,,,,,,,,,,,,,
F1,04/11/00,Nantes,Metz,2,0,H,1,0,H,1.8,3.2,4,1.85,2.9,3.4,,,,1.75,3.2,4.2,1.75,3.15,4
F1,04/11/00,Saint-Etienne,Troyes,4,1,H,1,0,H,2.1,3.05,3.15,1.9,2.8,3.3,,,,2.05,3.1,3.25,1.9,3.15,3.5
F1,04/11/00,Toulouse,Strasbourg,0,0,D,0,0,D,2.25,2.95,3,2,2.9,3,,,,2.2,3,3,2.15,3,3.1
F1,10/11/00,Saint-Etienne,AS Monaco,1,0,H,1,0,H,2.5,2.8,2.7,2.2,2.9,2.7,,,,2.5,3,2.6,2.3,2.9,2.9
F1,11/11/00,Lille,AJ Auxerre,1,1,D,0,0,D,1.95,2.8,3.8,1.9,2.8,3.3,,,,2,3,3.5,1.95,3.15,3.4
F1,11/11/00,Metz,Guingamp,1,1,D,1,0,H,2,3.1,3.35,1.8,2.9,3.6,,,,1.95,3.2,3.4,1.9,3.25,3.3
F1,11/11/00,Paris Saint-Germain,Lyon,1,1,D,1,1,D,1.67,3.1,4.8,1.7,3.1,3.8,,,,1.67,3.25,4.75,1.72,3.2,4.33
F1,11/11/00,Stade Rennes,Toulouse,1,1,D,1,1,D,1.6,3.4,4.8,1.5,3.4,4.7,,,,1.55,3.4,5.6,1.55,3.4,5.5
F1,11/11/00,Sedan,Marseille,2,0,H,0,0,D,1.8,3.2,3.8,1.75,3.1,3.6,,,,1.75,3.4,4,1.3,3.3,3.75
F1,11/11/00,Troyes,Lens,1,0,H,1,0,H,2.05,2.8,3.6,2.2,2.8,2.8,,,,2.1,3.1,3.2,2.1,3,3
F1,12/11/00,Strasbourg,Bordeaux,0,2,A,0,0,D,2.8,3,2.3,2.9,2.9,2.1,,,,3,3.1,2.2,2.8,3.2,2.2
F1,17/11/00,Marseille,Metz,4,1,H,2,1,H,1.85,3.1,4,1.8,2.8,3.8,,,,1.83,3.25,3.75,1.8,3.3,3.75
F1,18/11/00,Guingamp,Bastia,1,0,H,1,0,H,2,2.95,3.6,1.9,2.8,3.3,,,,1.9,3.1,3.75,1.9,3.1,3.6
F1,18/11/00,Lens,Saint-Etienne,0,0,D,0,0,D,1.85,3.1,4,1.85,2.8,3.6,,,,1.8,3.2,4,2,3,3.4
F1,18/11/00,Lyon,Lille,0,1,A,0,0,D,1.75,3.1,4.2,1.8,2.9,3.6,,,,1.73,3.2,4.33,1.66,3.3,4.5
F1,18/11/00,AS Monaco,Paris Saint-Germain,2,0,H,2,0,H,2.2,3.1,2.8,2.1,2.9,2.9,,,,2.05,3.1,3.2,2.37,2.9,2.8
F1,18/11/00,Nantes,Troyes,4,0,H,4,0,H,1.85,3,3.85,1.8,2.9,3.6,,,,1.8,3.2,4,1.8,3.25,3.8
F1,18/11/00,Toulouse,Sedan,2,0,H,1,0,H,2.8,3,2.3,2.8,2.8,2.2,,,,2.88,3,2.25,2.75,2.9,2.4
F1,19/11/00,AJ Auxerre,Strasbourg,1,2,A,1,0,H,1.65,3.25,4.8,1.55,3.3,4.5,,,,1.57,3.3,5.5,1.57,3.25,5.5
F1,19/11/00,Bordeaux,Stade Rennes,3,0,H,1,0,H,1.55,3.4,5.8,1.55,3.2,4.8,,,,1.5,3.5,6,1.57,3.25,5.5
F1,25/11/00,Bastia,Marseille,3,0,H,1,0,H,1.9,3.1,3.5,1.9,2.9,3.2,,,,1.9,3.1,3.6,1.83,3.3,3.6
F1,25/11/00,Lens,AS Monaco,4,3,H,2,1,H,2.25,3.05,2.95,2.2,2.8,2.8,,,,2.25,3,2.9,2.3,3.1,2.75
F1,25/11/00,Metz,Toulouse,1,1,D,0,1,A,1.66,3.3,4.6,1.55,3.2,4.8,,,,1.67,3.25,4.6,1.65,3.35,4.5
F1,25/11/00,Stade Rennes,AJ Auxerre,0,1,A,0,0,D,2.05,3.15,3.25,2,2.7,3.2,,,,2,3.1,3.3,1.95,3.1,3.5
F1,25/11/00,Strasbourg,Lyon,0,3,A,0,2,A,2.7,2.9,2.45,2.4,2.9,2.4,,,,2.63,2.9,2.5,2.5,3,2.55
F1,25/11/00,Troyes,Guingamp,0,1,A,0,1,A,2.05,3,3.4,2,2.7,3.2,,,,2.05,2.9,3.4,2,3.1,3.3
F1,26/11/00,Sedan,Bordeaux,0,0,D,0,0,D,2.35,3.05,2.75,2.3,2.8,2.6,,,,2.3,3,2.8,2.37,3.1,2.62
F1,26/11/00,Saint-Etienne,Nantes,0,2,A,0,0,D,2.1,3.1,3.2,2,2.8,3.1,,,,2,3,3.4,1.83,3.2,3.75
F1,28/11/00,Guingamp,Lens,0,1,A,0,0,D,1.9,3.2,3.55,2,2.7,3.2,,,,2,3.1,3.3,1.95,3.2,3.35
F1,28/11/00,Paris Saint-Germain,Stade Rennes,0,1,A,0,1,A,1.4,3.55,6.6,1.4,3.6,5.5,,,,1.44,3.6,6.5,1.44,3.6,6.5
F1,29/11/00,AJ Auxerre,Metz,1,0,H,0,0,D,1.9,3.05,3.8,1.9,2.8,3.3,,,,1.8,3.1,4,1.72,3.25,4.2
F1,29/11/00,Bordeaux,Bastia,0,0,D,0,0,D,1.55,3.4,5.7,1.4,3.6,5.5,,,,1.5,3.4,6,1.5,3.6,5.5
F1,29/11/00,Lille,Strasbourg,1,1,D,1,1,D,1.6,3.4,5,1.5,3.4,4.7,,,,1.6,3.4,4.8,1.55,3.5,5.2
F1,29/11/00,Lyon,Sedan,2,2,D,0,0,D,1.95,3,3.7,1.9,2.8,3.3,,,,1.9,3,3.75,1.8,3.25,3.8
F1,29/11/00,Marseille,Saint-Etienne,2,1,H,0,0,D,1.85,3.2,3.7,1.8,2.9,3.6,,,,1.85,3.1,3.75,1.9,3.2,3.5
F1,29/11/00,Nantes,AS Monaco,3,1,H,1,0,H,2.2,3.1,2.9,2.2,2.9,2.7,,,,2.1,3.1,3.1,1.85,3.25,3.6
F1,29/11/00,Toulouse,Troyes,2,1,H,1,1,D,2.2,3.1,2.95,2.1,2.9,2.9,,,,2.15,3.1,3,2.1,3.2,3
F1,02/12/00,Bastia,AJ Auxerre,3,1,H,1,0,H,2,3.05,3.45,1.9,2.9,3.2,,,,2,3,3.4,1.85,3.2,3.65
F1,02/12/00,Metz,Lyon,0,0,D,0,0,D,2.4,3.05,2.7,2.3,2.7,2.7,,,,2.4,3,2.7,2.35,3,2.75
F1,02/12/00,AS Monaco,Strasbourg,1,0,H,0,0,D,1.45,3.55,6.55,1.4,3.6,5.5,,,,1.44,3.6,6.5,1.45,3.6,6.5
F1,02/12/00,Nantes,Guingamp,2,1,H,1,1,D,1.85,3.15,3.8,1.8,2.9,3.6,,,,1.8,3.2,4,1.75,3.3,4
F1,02/12/00,Stade Rennes,Lille,2,0,H,1,0,H,2.25,3,2.9,2.2,2.7,2.9,,,,2.25,3,2.88,2.2,3,3
F1,02/12/00,Sedan,Paris Saint-Germain,5,1,H,1,1,D,2.3,3,2.85,2.1,2.8,3,,,,2.2,3,3,2.1,3.2,3
F1,02/12/00,Saint-Etienne,Toulouse,1,0,H,0,0,D,1.61,3.3,5,1.6,3.2,4.2,,,,1.6,3.3,5,1.6,3.3,5
F1,02/12/00,Troyes,Bordeaux,1,0,H,0,0,D,2.8,3,2.35,2.9,2.9,2.1,,,,2.75,3,2.38,2.62,3.1,2.37
F1,03/12/00,Lens,Marseille,1,0,H,0,0,D,1.8,3.1,4.1,1.8,2.9,3.6,,,,1.75,3.2,4.2,1.72,3.2,4.33
F1,09/12/00,AJ Auxerre,Troyes,2,2,D,1,0,H,1.85,3.1,3.95,1.75,3.1,3.6,,,,1.75,3.25,4,1.8,3.25,3.8
