team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,20,10,4,72,31,41,70
Schalke ,34,19,8,7,53,31,22,65
Werder Bremen,34,17,10,7,71,40,31,61
Bayer Leverkusen,34,15,14,5,65,38,27,59
Borussia Dortmund,34,16,9,9,54,42,12,57
VfB Stuttgart,34,15,10,9,51,41,10,55
Hamburg SV,34,13,13,8,56,41,15,52
VfL Wolfsburg,34,14,8,12,64,58,6,50
Mainz,34,12,11,11,36,42,-6,47
Eintracht Frankfurt,34,12,10,12,47,54,-7,46
TSG Hoffenheim,34,11,9,14,44,42,2,42
Borussia Monchengladbach,34,10,9,15,43,60,-17,39
FC Cologne,34,9,11,14,33,42,-9,38
SC Freiburg,34,9,8,17,35,59,-24,35
Hannover ,34,9,6,19,43,67,-24,33
Nurnberg,34,8,7,19,32,58,-26,31
VfL Bochum,34,6,10,18,33,64,-31,28
Hertha Berlin,34,5,9,20,34,56,-22,24
