team,GP,W,D,L,F,A,GD,P
Wolverhampton Wanderers,46,27,9,10,80,52,28,90
Birmingham City,46,23,14,9,54,37,17,83
Sheffield UnitedS,46,22,14,10,64,39,25,80
Reading,46,21,14,11,72,40,32,77
Burnley,46,21,13,12,72,60,12,76
Preston North End,46,21,11,14,66,54,12,74
Cardiff City,46,19,17,10,65,53,12,74
Swansea City,46,16,20,10,63,50,13,68
Ipswich Town,46,17,15,14,62,53,9,66
Bristol City,46,15,16,15,54,54,0,61
Queens Park Rangers,46,15,16,15,42,44,-2,61
Sheffield WednesdayS,46,16,13,17,51,58,-7,61
Watford,46,16,10,20,68,72,-4,58
Doncaster Rovers,46,17,7,22,42,53,-11,58
Crystal Palace,46,15,12,19,52,55,-3,57
Blackpool,46,13,17,16,47,58,-11,56
Coventry City,46,13,15,18,47,58,-11,54
Derby County,46,14,12,20,55,67,-12,54
Nottingham Forest,46,13,14,19,50,65,-15,53
Barnsley,46,13,13,20,45,58,-13,52
Plymouth Argyle,46,13,12,21,44,57,-13,51
Norwich City,46,12,10,24,57,70,-13,46
Southampton,46,10,15,21,46,69,-23,45
Charlton Athletic,46,8,15,23,52,74,-22,39
