team,GP,W,D,L,F,A,GD,P
Bayern Munich,34,29,4,1,98,18,80,91
Borussia Dortmund,34,19,9,6,81,42,39,66
Bayer Leverkusen,34,19,8,7,65,39,26,65
Schalke ,34,16,7,11,58,50,8,55
SC Freiburg,34,14,9,11,45,40,5,51
Eintracht Frankfurt,34,14,9,11,49,46,3,51
Hamburg SV,34,14,6,14,42,53,-11,48
Borussia Monchengladbach,34,12,11,11,45,49,-4,47
Hannover ,34,13,6,15,60,62,-2,45
Nurnberg,34,11,11,12,39,47,-8,44
VfL Wolfsburg,34,10,13,11,47,52,-5,43
VfB Stuttgart,34,12,7,15,37,55,-18,43
Mainz,34,10,12,12,42,44,-2,42
Werder Bremen,34,8,10,16,50,66,-16,34
FC Augsburg,34,8,9,17,33,51,-18,33
TSG Hoffenheim,34,8,7,19,42,67,-25,31
Fortuna DüsseldorfF,34,7,9,18,39,57,-18,30
SpVgg Greuther Furth,34,4,9,21,26,60,-34,21
