team,GP,W,D,L,F,A,GD,P
Paris Saint-Germain ,11,11,0,0,39,6,33,33
LilleL,11,8,1,2,20,8,12,25
MontpellierM,11,6,4,1,17,7,10,22
LyonL,11,6,2,3,18,13,5,20
Marseille,11,6,1,4,22,18,4,19
Saint-Etienne,11,4,5,2,13,14,-1,17
StrasbourgS,11,4,4,3,19,15,4,16
Bordeaux,11,4,2,5,13,14,-1,14
Stade de Reims,11,3,5,3,7,10,-3,14
NiceN,11,4,2,5,8,14,-6,14
Toulouse,11,3,4,4,10,19,-9,13
Angers,11,3,3,5,13,15,-2,12
Nantes,11,3,3,5,14,17,-3,12
Stade Rennes,11,3,3,5,13,17,-4,12
Caen,11,2,5,4,10,14,-4,11
Nimes,11,2,5,4,14,19,-5,11
Dijon FCO,11,3,2,6,12,17,-5,11
SC Amiens,11,3,1,7,12,20,-8,10
AS Monaco,11,1,4,6,12,17,-5,7
Guingamp,11,1,4,6,7,19,-12,7
